contentid,title,mapx,mapy,nx,ny
2762859,마검포항,126.2848347,36.62236527,48,106
128904,마검포해수욕장,126.2893097,36.6076476,48,106
125894,마곡사 [유네스코 세계유산],127.0116154,36.55745197,61,105
126849,마곡사 천연송림욕장,127.0123514,36.55904347,61,105
3331253,마곡안전체험관,126.8249437,37.55532225,57,126
125733,마곡유원지,127.5904858,37.72245283,70,130
127434,마구령/고치령,128.6081722,37.04924409,88,116
2630966,마근담마을,127.8577564,35.3198966,76,78
2783732,마근저수지,129.2778084,35.37447462,101,80
1985839,마금산,128.6028762,35.35400335,89,79
127608,마금산원탕,128.6094728,35.35441176,89,79
125468,마니산(강화),126.4237865,37.63246729,50,128
3061182,마니산국민관광지,126.4238087,37.63251173,50,128
127299,마대산,128.6017607,37.07954327,88,117
2747175,마둔저수지,127.3135713,36.97103752,66,114
2621914,마라도 가파도 정기여객선,126.2583888,33.2100943,48,32
129145,마라도 등대,126.2692288,33.11701029,48,30
126450,마라도(마라해양도립공원),126.2674345,33.11863508,48,30
128802,마라도가는 여객선,126.2905166,33.2074201,48,32
128992,마량미항(마량항),126.8186391,34.44898224,58,59
2782229,마량포구,126.5036334,36.12943115,52,95
126487,마로니에공원,127.002724,37.58024198,60,127
2752525,마루공원,127.0801415,37.49593649,62,125
2759992,마루공원,127.1141166,37.38347237,62,123
2782697,마리앤쥬,126.6511723,37.39462395,54,123
2717286,마린데크(커피마린협동조합),129.1860748,37.45677782,98,125
2617724,마린시티,129.1436567,35.15603272,99,75
3337761,마마스홈퀴진,129.1166894,35.56150059,98,84
126893,마복산,127.3700773,34.54634448,68,61
2380834,마복산 목재문화체험장,127.3768321,34.55067466,68,61
1970811,마비정 벽화마을,128.5422449,35.77929594,88,88
128279,마산 오동동 아구찜거리,128.5785712,35.2064306,89,76
2627175,마산로봇랜드,128.5870739,35.07688973,89,73
2793133,마산항,128.5685808,35.19126823,89,76
1955405,마산향교,128.4989583,35.11885843,88,74
2732176,마섬포구,126.5736118,37.02334895,53,115
2853109,마송중앙공원,126.5983996,37.68715844,53,129
3074715,마시안갯벌체험장,126.4169927,37.43167387,50,124
2746351,마안산,126.9587654,36.93546864,60,113
127995,마우나오션리조트 블루 워터,129.3691861,35.68436651,103,87
2786179,마운틴코스터,128.6755126,37.6303201,89,129
2798876,마을길따라 노산 가는길,128.3883986,37.38401806,84,123
2717598,마을여행사 청보리,126.8071144,36.44854701,57,102
3018017,마음정원,127.3231174,37.56815195,66,127
2630972,마의태자권역마을,128.2566456,37.88121634,82,134
2615382,마이돈테마공원,127.4178888,35.77550119,68,88
2783003,마이랜드,126.5983833,37.47388604,53,125
2702656,마이산 미로공원,127.4209164,35.77344314,68,88
2706284,마이산 벚꽃길,127.3941803,35.75538361,68,87
129498,마이산 신제,127.3889061,35.74618734,68,87
128974,마이산 타포니지형,127.4127036,35.75965012,68,88
128972,마이산 탑사,127.4112037,35.758503,68,88
128976,마이산 화엄굴,127.4127036,35.75965012,68,88
126235,마이산도립공원,127.4151032,35.7664605,68,88
2939667,마이산도립공원 남부,127.3938498,35.75705286,68,87
