contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid,NX,NY
129459,한국최초 성경전래지 기념관,충청남도 서천군 서인로 89-16 성경전래지 기념관,,34.0,8.0,126.500467,36.13150031,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/36/491636_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/491636_image3_1.jpg,A02,A0201,A02010900,12,51,94
1626380,한국통나무학교,강원특별자치도 횡성군 강림면 월안길 88,(강림면),32.0,18.0,128.1785711,37.35644228,20230700000000.0,http://tong.visitkorea.or.kr/cms/resource/15/1583915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1583915_image3_1.jpg,A02,A0206,A02061400,12,80,122
2657848,한국트로트가요센터,전라남도 영암군 영암읍 기찬랜드로 19-10,,38.0,17.0,126.6853536,34.79158881,20240500000000.0,,,A02,A0203,A02030400,12,54,65
2469053,한국한의약진흥원,경상북도 경산시 화랑로 94,(갑제동),35.0,1.0,128.7671044,35.82321456,20231100000000.0,,,A02,A0204,A02040800,12,91,89
2554262,한국항공대학교 항공우주박물관,경기도 고양시 덕양구 항공대학로 76,(화전동),31.0,2.0,126.8644583,37.59972612,20230800000000.0,,,A02,A0204,A02040800,12,57,126
2711044,한국해양레저㈜ 쾌속반잠수정,강원특별자치도 동해시 일출로 201,(어달동),32.0,3.0,129.1201803,37.56023405,20230800000000.0,http://tong.visitkorea.or.kr/cms/resource/80/2741980_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2741980_image3_1.jpg,A03,A0301,A03010200,12,96,127
2569495,한길 책박물관,경기도 파주시 탄현면 헤이리마을길 59-6,,31.0,27.0,126.6979015,37.78923997,20231000000000.0,http://tong.visitkorea.or.kr/cms/resource/51/2567651_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2567651_image3_1.jpg,A02,A0206,A02060100,12,54,130
2723542,한담해변,제주특별자치도 제주시 애월읍 애월로1길 26-4,,39.0,4.0,126.3101064,33.46278384,20240500000000.0,,,A01,A0101,A01011200,12,48,36
2930935,한담해안산책로,제주특별자치도 제주시 애월읍 곽지리,,39.0,4.0,126.3106092,33.45922868,20240500000000.0,,,A01,A0101,A01010500,12,48,36
1918643,한대오름,제주특별자치도 제주시 애월읍 화전길 201,,39.0,4.0,126.3856691,33.34829492,20231100000000.0,,,A01,A0101,A01010400,12,49,34
2633035,한두레마을,충청북도 옥천군 청성면 한두레로 387,,33.0,5.0,127.7289297,36.3252802,20230900000000.0,http://tong.visitkorea.or.kr/cms/resource/07/2845407_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2845407_image3_1.jpg,A02,A0203,A02030100,12,72,99
128337,한드미마을,충청북도 단양군 가곡면 한드미길 30-12,,33.0,2.0,128.4389307,36.98940055,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/69/2633069_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/69/2633069_image2_1.bmp,A02,A0203,A02030100,12,84,114
127635,한라산 (제주도 국가지질공원),제주특별자치도 제주시 1100로 2070-61,,39.0,4.0,126.4948725,33.39273062,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/98/2870098_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2870098_image3_1.jpg,A01,A0101,A01010400,12,51,35
264590,한라산 백록담,제주특별자치도 서귀포시 토평동,산 15-1,39.0,3.0,126.5364394,33.3444755,20240600000000.0,http://tong.visitkorea.or.kr/cms/resource/95/3035595_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3035595_image3_1.jpg,A01,A0101,A01010500,12,52,34
126436,한라산 성판악,제주특별자치도 제주시 조천읍 516로 1865,,39.0,4.0,126.6203951,33.3848946,20240600000000.0,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image3_1.jpg,A01,A0101,A01010400,12,53,34
126469,한라산 영실,제주특별자치도 서귀포시 영실로 246,(하원동),39.0,3.0,126.4803111,33.34023064,20230700000000.0,http://tong.visitkorea.or.kr/cms/resource/09/2617909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2617909_image3_1.jpg,A01,A0101,A01010400,12,51,33
2638442,한라산소주 공장투어,제주특별자치도 제주시 한림읍 한림로 555,,39.0,4.0,126.2561568,33.40779741,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/92/2639392_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2639392_image2_1.jpg,A02,A0203,A02030400,12,47,35
802844,한라생태숲,제주특별자치도 제주시 516로 2596,,39.0,4.0,126.5982321,33.43194182,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/23/3027023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3027023_image3_1.jpg,A01,A0101,A01010700,12,53,35
127514,한라수목원,제주특별자치도 제주시 수목원길 72,(연동),39.0,4.0,126.4921488,33.46976928,20240700000000.0,,,A01,A0101,A01010700,12,51,36
2809926,한려해상 국립공원 생태탐방원,경상남도 통영시 산양일주로 1361-96 한려해상국립공원 생태탐방연수원,,36.0,17.0,128.3895324,34.77977777,20240500000000.0,,,A01,A0101,A01010100,12,85,66
128025,한려해상국립공원 (오동도),전라남도 여수시 오동도로 222,,38.0,13.0,127.7641323,34.74436241,20240500000000.0,,,A01,A0101,A01011300,12,74,65
126576,한려해상국립공원(거제),경상남도 거제시 거제대로 981 학동야영장,한려해상국립공원거제분소,36.0,1.0,128.6431104,34.77709372,20230600000000.0,,,A01,A0101,A01010100,12,89,66
988187,한려해상국립공원(남해),경상남도 남해군 상주면,,36.0,5.0,127.9706702,34.72905105,20230700000000.0,,,A01,A0101,A01010100,12,77,64
127686,한려해상국립공원(사천),경상남도 사천시 늑도동,,36.0,8.0,128.0479699,34.90937111,20240500000000.0,,,A01,A0101,A01010100,12,79,68
