contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
3008259,안양박물관,경기도 안양시 만안구 석수동,,31,17,126.9177585209,37.4177982109,20230906153422,http://tong.visitkorea.or.kr/cms/resource/81/3003381_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3003381_image3_1.jpg,A02,A0206,A02060100,14
130092,안양아트센터,경기도 안양시 만안구 문예로36번길 16,,31,17,126.9312693317,37.3846467424,20240613101947,,,A02,A0206,A02060600,14
2999378,안양어린이천문대,경기도 안양시 만안구 박달동,5층,31,17,126.8840173948,37.4089403044,20230831142921,http://tong.visitkorea.or.kr/cms/resource/75/2999375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2999375_image3_1.jpg,A02,A0206,A02060300,14
2031666,안용복기념관,경상북도 울릉군 북면 석포길 500,,35,17,130.9066193142,37.5355008424,20231114170628,http://tong.visitkorea.or.kr/cms/resource/74/2009274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2009274_image3_1.jpg,A02,A0206,A02060200,14
2724084,안정리 예술인광장,경기도 평택시 팽성읍 안정쇼핑로 11,,31,28,127.0443431037,36.9598534521,20230915155655,,,A02,A0206,A02060300,14
129794,안중근의사기념관,서울특별시 중구 소월로 91,(남대문로5가),1,24,126.9802823395,37.5534696857,20240513093723,,,A02,A0206,A02060200,14
2783540,알부스갤러리,서울특별시 용산구 한남대로28길 26,(한남동),1,21,127.0059193235,37.5382663567,20230804113822,http://tong.visitkorea.or.kr/cms/resource/95/2785995_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2785995_image2_1.jpg,A02,A0206,A02060500,14
2734962,알토이미술관,경기도 용인시 기흥구 동백3로11번길 9,(중동),31,23,127.1529385384,37.2697334689,20231205170251,http://tong.visitkorea.or.kr/cms/resource/71/2738971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2738971_image2_1.jpg,A02,A0206,A02060500,14
130178,암사동선사유적박물관,서울특별시 강동구 올림픽로 875,(암사동),1,2,127.1303240272,37.5606243328,20230913161452,,,A02,A0206,A02060100,14
2741614,암사선사유적박물관,서울특별시 강동구 올림픽로 875,(암사동),1,2,127.1303629105,37.5606909924,20231023095356,http://tong.visitkorea.or.kr/cms/resource/02/2779602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2779602_image2_1.jpg,A02,A0206,A02060100,14
129814,암사어린이극장,서울특별시 강동구 올림픽로 930,(암사동),1,2,127.1333958873,37.5635212741,20240530135049,http://tong.visitkorea.or.kr/cms/resource/92/700892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/700892_image3_1.jpg,A02,A0206,A02060600,14
2804927,애관극장,"인천광역시 중구  개항로 (63-2, 애관극장)",,2,10,126.6298610077,37.4724200947,20240528171333,http://tong.visitkorea.or.kr/cms/resource/08/2725208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2725208_image3_1.jpg,A02,A0206,A02061200,14
1925658,애보박물관,인천광역시 남동구 만의골로 71,(운연동),2,4,126.7670268897,37.4504306307,20240529151918,http://tong.visitkorea.or.kr/cms/resource/29/3030729_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/3030729_image3_1.jpg,A02,A0206,A02060100,14
